THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
111	依神紫苑	Yīshén Zǐyuàn	[ī ʂə́n tsɹ̩̌ ɥɛ̀n]	依神紫苑	ㄧ ㄕㄣˊ ㄗˇ ㄩㄢˋ	Yīshén Zǐhyuàn	[ī ʂə́n tsɹ̩̌ ɥɛ̀n]	依神紫苑	Yorigami Shion	よりがみ しおん	/joɾigami ɕioɴ/	依神 紫苑	依神 紫苑	ㄧ ㄕㄣˊ ㄗˇ ㄩㄢˋ	依神 紫苑	
112	天空璋	Tiānkōngzhāng	[tʰjɛ̄n kʰʊ̄ŋ ʈʂāŋ]	天空璋	ㄊㄧㄢ ㄎㄨㄥ ㄓㄤ	Tiānkōngjhāng	[tʰjɛ̄n kʰʊ̄ŋ ʈʂāŋ]	天空璋	Tenkuushou	てんくうしょう	/teɴkɯːɕoː/	天空璋	天空璋	ㄊㄧㄢ ㄎㄨㄥ ㄓㄤ	天空璋	TRUE
113	爱塔妮缇拉尔瓦	Àitǎnītí Lā'ěrwǎ	[ài tʰǎ nī tʰí lā ɚ̌ wǎ]	愛塔妮緹拉爾瓦	ㄞˋ ㄊㄚˇ ㄋㄧˊ ㄊㄧˊ ㄌㄚ ㄦˇ ㄨㄚˇ	Àitǎnítí Lā'ěrwǎ	[ài tʰǎ ní tʰí lā ɚ̌ wǎ]	エタニティラルバ	Eternity Larva	えたにてぃらるば	/etanitiɾaɾɯba/	爱塔妮缇\n拉尔瓦	愛塔妮緹\n拉爾瓦	ㄞˋ ㄊㄚˇ ㄋㄧˊ ㄊㄧˊ \nㄌㄚ ㄦˇ ㄨㄚˇ	エタニティ\nラルバ	
114	坂田合欢	Bǎntián Héhuān	[pǎn tʰjɛ́n xɤ́ xwān]	坂田合歡	ㄅㄢˇ ㄊㄧㄢˊ ㄏㄜˊ ㄏㄨㄢ	Bǎntián Héhuān	[pǎn tʰjɛ́n xɤ́ xwān]	坂田ネムノ	Sakata Nemuno	さかた ねむの	/sakata nemɯno/	坂田 合欢	坂田 合歡	ㄅㄢˇ ㄊㄧㄢˊ ㄏㄜˊ ㄏㄨㄢ	坂田 ネムノ	
114	坂田合欢野	Bǎntián Héhuānyě	[pǎn tʰjɛ́n xɤ́ xwān jě]	坂田合歡野	ㄅㄢˇ ㄊㄧㄢˊ ㄏㄜˊ ㄏㄨㄢ ㄧㄝˇ	Bǎntián Héhuānyě	[pǎn tʰjɛ́n xɤ́ xwān jě]	坂田ネムノ	Sakata Nemuno	さかた ねむの	/sakata nemɯno/	坂田 合欢野	坂田 合歡野	ㄅㄢˇ ㄊㄧㄢˊ \nㄏㄜˊ ㄏㄨㄢ ㄧㄝˇ	坂田 ネムノ	
114	坂田合欢乃	Bǎntián Héhuānnǎi	[pǎn tʰjɛ́n xɤ́ xwān nǎi]	坂田合歡乃	ㄅㄢˇ ㄊㄧㄢˊ ㄏㄜˊ ㄏㄨㄢ ㄋㄞˇ	Bǎntián Héhuānnǎi	[pǎn tʰjɛ́n xɤ́ xwān nǎi]	坂田ネムノ	Sakata Nemuno	さかた ねむの	/sakata nemɯno/	坂田 合欢乃	坂田 合歡乃	ㄅㄢˇ ㄊㄧㄢˊ \nㄏㄜˊ ㄏㄨㄢ ㄋㄞˇ	坂田 ネムノ	
115	高丽野阿吽	Gāolíyě Āhōng	[kāu lí jě ā xʊ̄ŋ]	高麗野阿吽	ㄍㄠ ㄌㄧˊ ㄧㄝˇ ㄚ ㄏㄨㄥ	Gāolíyě Āhōng	[kāu lí jě ā xʊ̄ŋ]	高麗野あうん	Komano Aun	こまの あうん	/komano aɯɴ/	高丽野 阿吽	高麗野 阿吽	ㄍㄠ ㄌㄧˊ ㄧㄝˇ ㄚ ㄏㄨㄥ	高麗野 あうん	
116	矢田寺成美	Shǐtiánsì Chéngměi	[ʂɻ̩̌ tʰjɛ́n sɹ̩̀ ʈʂʰə́ŋ měi]	矢田寺成美	ㄕˇ ㄊㄧㄢˊ ㄙˋ ㄔㄥˊ ㄇㄟˇ	Shǐhtiánsìh Chéngměi	[ʂɻ̩̌ tʰjɛ́n sɹ̩̀ ʈʂʰə́ŋ měi]	矢田寺成美	Yatadera Narumi	やたでら なるみ	/jatadeɾa naɾɯmi/	矢田寺 成美	矢田寺 成美	ㄕˇ ㄊㄧㄢˊ ㄙˋ ㄔㄥˊ ㄇㄟˇ	矢田寺 成美	
117	丁礼田舞	Dīnglǐtián Wǔ	[tīŋ lǐ tʰjɛ́n ǔ]	丁禮田舞	ㄉㄧㄥ ㄌㄧˇ ㄊㄧㄢˊ ㄨˇ	Dīnglǐtián Wǔ	[tīŋ lǐ tʰjɛ́n ǔ]	丁礼田舞	Teireida Mai	ていれいだ まい	/teːɾeːda mai/	丁礼田 舞	丁禮田 舞	ㄉㄧㄥ ㄌㄧˇ ㄊㄧㄢˊ ㄨˇ	丁礼田 舞	
118	尔子田里乃	Ěrzǐtián Lǐnǎi	[ɚ̌ tsɹ̩̌ tʰjɛ́n lǐ nǎi]	爾子田里乃	ㄦˇ ㄗˇ ㄊㄧㄢˊ ㄌㄧˇ ㄋㄞˇ	Ěrzǐhtián Lǐnǎi	[ɚ̌ tsɹ̩̌ tʰjɛ́n lǐ nǎi]	爾子田里乃	Nishida Satono	にしだ さとの	/niɕida satono/	尔子田 里乃	爾子田 里乃	ㄦˇ ㄗˇ ㄊㄧㄢˊ ㄌㄧˇ ㄋㄞˇ	爾子田 里乃	
119	摩多罗隐岐奈	Móduōluó Yǐnqínài	[mwó twō lwó ǐn tɕʰí nài]	摩多羅隱岐奈	ㄇㄛˊ ㄉㄨㄛ ㄌㄨㄛˊ ㄧㄣˇ ㄑㄧˊ ㄋㄞˋ	Móduōluó Yǐncínài	[mwó twō lwó ǐn tɕʰí nài]	摩多羅隠岐奈	Matara Okina	またら おきな	/mataɾa okina/	摩多罗 隐岐奈	摩多羅 隱岐奈	ㄇㄛˊ ㄉㄨㄛ ㄌㄨㄛˊ \nㄧㄣˇ ㄑㄧˊ ㄋㄞˋ	摩多羅 隠岐奈	
120	秘封噩梦日记	Mìfēng Èmèng Rìjì	[mì fə̄ŋ ɤ̀ mə̀ŋ ʐɻ̩̀ tɕì]	秘封噩夢日記	ㄇㄧˋ ㄈㄥ ㄜˋ ㄇㄥˋ ㄖˋ ㄐㄧˋ	Mìfōng Èmèng Rìhjì	[mì fə̄ŋ ɤ̀ mə̀ŋ ʐɻ̩̀ tɕì]	秘封ナイトメアダイアリー	Hifuu Nightmare Diary	ひふう ないとめあ だいありー	/çi̥ɸɯː naitomea daiaɾiː/	秘封噩梦日记	秘封噩夢日記	ㄇㄧˋ ㄈㄥ ㄜˋ ㄇㄥˋ ㄖˋ ㄐㄧˋ	秘封\nナイトメア\nダイアリー	TRUE
121	鬼形兽	Guǐxíngshòu	[kwěi ɕíŋ ʂòu]	鬼形獸	ㄍㄨㄟˇ ㄒㄧㄥˊ ㄕㄡˋ	Guěisíngshòu	[kwěi ɕíŋ ʂòu]	鬼形獣	Kikeijuu	きけいじゅう	/ki̥keːdʑɯː/	鬼形兽	鬼形獸	ㄍㄨㄟˇ ㄒㄧㄥˊ ㄕㄡˋ	鬼形獣	TRUE
122	戎璎花	Róng Yīnghuā	[ʐʊ́ŋ īŋ xwā]	戎瓔花	ㄖㄨㄥˊ ㄧㄥ ㄏㄨㄚ	Róng Yīnghuā	[ʐʊ́ŋ īŋ xwā]	戎瓔花	Ebisu Eika	えびす えいか	/ebisɯ eːka/	戎璎花	戎 瓔花	ㄖㄨㄥˊ ㄧㄥ ㄏㄨㄚ	戎 瓔花	TRUE
123	牛崎润美	Niúqí Rùnměi	[njóu tɕʰí ʐwə̀n měi]	牛崎潤美	ㄋㄧㄡˊ ㄑㄧˊ ㄖㄨㄣˋ ㄇㄟˇ	Nióucí Rùnměi	[njóu tɕʰí ʐwə̀n měi]	牛崎潤美	Ushizaki Urumi	うしざき うるみ	/ɯɕizaki ɯɾɯmi/	牛崎润美	牛崎 潤美	ㄋㄧㄡˊ ㄑㄧˊ ㄖㄨㄣˋ ㄇㄟˇ	牛崎 潤美	
124	庭渡久侘歌	Tíngdù Jiǔchàgē	[tʰíŋ tù tɕjǒu ʈʂʰà kɤ̄]	庭渡久侘歌	ㄊㄧㄥˊ ㄉㄨˋ ㄐㄧㄡˇ ㄔㄚˋ ㄍㄜ	Tíngdù Jiǒuchàgē	[tʰíŋ tù tɕjǒu ʈʂʰà kɤ̄]	庭渡久侘歌	Niwatari Kutaka	にわたり くたか	/niwataɾi kɯ̥taka/	庭渡 久侘歌	庭渡 久侘歌	ㄊㄧㄥˊ ㄉㄨˋ \nㄐㄧㄡˇ ㄔㄚˋ ㄍㄜ	庭渡 久侘歌	
125	吉吊八千慧	Jídiào Bāqiānhuì	[tɕí tjàu pā tɕʰjɛ̄n xwèi]	吉弔八千慧	ㄐㄧˊ ㄉㄧㄠˋ ㄅㄚ ㄑㄧㄢ ㄏㄨㄟˋ	Jídiào Bāciānhuèi	[tɕí tjàu pā tɕʰjɛ̄n xwèi]	吉弔八千慧	Kicchou Yachie	きっちょう やちえ	/ki̥ttɕoː jatɕie/	吉吊 八千慧	吉弔 八千慧	ㄐㄧˊ ㄉㄧㄠˋ \nㄅㄚ ㄑㄧㄢ ㄏㄨㄟˋ	吉弔 八千慧	
125	吉吊八千慧	Jídiào Bāqiānhuì	[tɕí tjàu pā tɕʰjɛ̄n xwèi]	吉吊八千慧	ㄐㄧˊ ㄉㄧㄠˋ ㄅㄚ ㄑㄧㄢ ㄏㄨㄟˋ	Jídiào Bāciānhuèi	[tɕí tjàu pā tɕʰjɛ̄n xwèi]	吉弔八千慧	Kicchou Yachie	きっちょう やちえ	/ki̥ttɕoː jatɕie/	吉吊 八千慧	吉吊 八千慧	ㄐㄧˊ ㄉㄧㄠˋ \nㄅㄚ ㄑㄧㄢ ㄏㄨㄟˋ	吉弔 八千慧	
126	杖刀偶磨弓	Zhàngdāo'ǒu Mógōng	[ʈʂàŋ tāu ǒu mwó kʊ̄ŋ]	杖刀偶磨弓	ㄓㄤˋ ㄉㄠ ㄡˇ ㄇㄛˊ ㄍㄨㄥ	Jhàngdāo'ǒu Mógōng	[ʈʂàŋ tāu ǒu mwó kʊ̄ŋ]	杖刀偶磨弓	Joutouguu Mayumi	じょうとうぐう まゆみ	/dʑoːtoːgɯː majɯmi/	杖刀偶 磨弓	杖刀偶 磨弓	ㄓㄤˋ ㄉㄠ ㄡˇ ㄇㄛˊ ㄍㄨㄥ	杖刀偶 磨弓	
127	埴安神袿姬	Zhí'ānshén Guījī	[ʈʂɻ̩́ ān ʂə́n kwēi tɕī]	埴安神袿姬	ㄓˊ ㄢ ㄕㄣˊ ㄍㄨㄟ ㄐㄧ	Jhíh'ānshén Guēijī	[ʈʂɻ̩́ ān ʂə́n kwēi tɕī]	埴安神袿姫	Haniyasushin Keiki	はにやすしん けいき	/hanijasɯ̥ɕiɴ keːki/	埴安神 袿姬	埴安神 袿姬	ㄓˊ ㄢ ㄕㄣˊ ㄍㄨㄟ ㄐㄧ	埴安神 袿姫	
128	骊驹早鬼	Líjū Zǎoguǐ	[lí tɕȳ tsǎu kwěi]	驪駒早鬼	ㄌㄧˊ ㄐㄩ ㄗㄠˇ ㄍㄨㄟˇ	Líjyū Zǎoguěi	[lí tɕȳ tsǎu kwěi]	驪駒早鬼	Kurokoma Saki	くろこま さき	/kɯɾokoma saki/	骊驹 早鬼	驪駒 早鬼	ㄌㄧˊ ㄐㄩ ㄗㄠˇ ㄍㄨㄟˇ	驪駒 早鬼	
129	刚欲异闻	Gāngyùyìwén	[kāŋ ỳ ì wə́n]	剛欲異聞	ㄍㄤ ㄩˋ ㄧˋ ㄨㄣˊ	Gāngyùyìwún	[kāŋ ỳ ì wə́n]	剛欲異聞	Gouyoku Ibun	ごうよくいぶん	/goːjokɯibɯɴ/	刚欲异闻	剛欲異聞	ㄍㄤ ㄩˋ ㄧˋ ㄨㄣˊ	剛欲異聞	TRUE
130	饕餮尤魔	Tāotiè Yóumó	[tʰāu tʰjè jóu mwó]	饕餮尤魔	ㄊㄠ ㄊㄧㄝˋ ㄧㄡˊ ㄇㄛˊ	Tāotiè Yóumó	[tʰāu tʰjè jóu mwó]	饕餮尤魔	Toutetsu Yuuma	とうてつ ゆうま	/toːtetsɯ jɯːma/	饕餮 尤魔	饕餮 尤魔	ㄊㄠ ㄊㄧㄝˋ ㄧㄡˊ ㄇㄛˊ	饕餮 尤魔	
131	虹龙洞	Hónglóngdòng	[xʊ́ŋ lʊ́ŋ tʊ̀ŋ]	虹龍洞	ㄏㄨㄥˊ ㄌㄨㄥˊ ㄉㄨㄥˋ	Hónglóngdòng	[xʊ́ŋ lʊ́ŋ tʊ̀ŋ]	虹龍洞	Kouryuudou	こうりゅうどう	/koːɾʲɯːdoː/	虹龙洞	虹龍洞	ㄏㄨㄥˊ ㄌㄨㄥˊ ㄉㄨㄥˋ	虹龍洞	TRUE
132	豪德寺三花	Háodésì Sānhuā	[xáu tɤ́ sɹ̩̀ sān xwā]	豪德寺三花	ㄏㄠˊ ㄉㄜˊ ㄙˋ ㄙㄢ ㄏㄨㄚ	Háodésìh Sānhuā	[xáu tɤ́ sɹ̩̀ sān xwā]	豪徳寺ミケ	Goutokuji Mike	ごうとくじ みけ	/goːtokɯdʑi mike/	豪德寺 三花	豪德寺 三花	ㄏㄠˊ ㄉㄜˊ ㄙˋ ㄙㄢ ㄏㄨㄚ	豪徳寺 ミケ	
132	豪德寺三毛	Háodésì Sānmáo	[xáu tɤ́ sɹ̩̀ sān máu]	豪德寺三毛	ㄏㄠˊ ㄉㄜˊ ㄙˋ ㄙㄢ ㄇㄠˊ	Háodésìh Sānmáo	[xáu tɤ́ sɹ̩̀ sān máu]	豪徳寺ミケ	Goutokuji Mike	ごうとくじ みけ	/goːtokɯdʑi mike/	豪德寺 三毛	豪德寺 三毛	ㄏㄠˊ ㄉㄜˊ ㄙˋ ㄙㄢ ㄇㄠˊ	豪徳寺 ミケ	
133	山城高岭	Shānchéng Gāolǐng	[ʂān ʈʂʰə́ŋ kāu lǐŋ]	山城高嶺	ㄕㄢ ㄔㄥˊ ㄍㄠ ㄌㄧㄥˇ	Shānchéng Gāolǐng	[ʂān ʈʂʰə́ŋ kāu lǐŋ]	山城たかね	Yamashiro Takane	やましろ たかね	/jamaɕiɾo takane/	山城 高岭	山城 高嶺	ㄕㄢ ㄔㄥˊ ㄍㄠ ㄌㄧㄥˇ	山城 たかね	
134	驹草山如	Jūcǎo Shānrú	[tɕȳ tsʰǎu ʂān ʐú]	駒草山如	ㄐㄩ ㄘㄠˇ ㄕㄢ ㄖㄨˊ	Jyūcǎo Shānrú	[tɕȳ tsʰǎu ʂān ʐú]	駒草山如	Komakusa Sannyo	こまくさ さんにょ	/komakɯ̥sa saɴnʲo/	驹草 山如	駒草 山如	ㄐㄩ ㄘㄠˇ ㄕㄢ ㄖㄨˊ	駒草 山如	
135	玉造魅须丸	Yùzào Mèixūwán	[ỳ tsàu mèi ɕȳ wán]	玉造魅須丸	ㄩˋ ㄗㄠˋ ㄇㄟˋ ㄒㄩ ㄨㄢˊ	Yùzào Mèisyūwán	[ỳ tsàu mèi ɕȳ wán]	玉造魅須丸	Tamatsukuri Misumaru	たまつくり みすまる	/tamatsɯ̥kɯɾi misɯmaɾɯ/	玉造 魅须丸	玉造 魅須丸	ㄩˋ ㄗㄠˋ ㄇㄟˋ ㄒㄩ ㄨㄢˊ	玉造 魅須丸	
136	菅牧典	Jiānmù Diǎn	[tɕjɛ̄n mù tjɛ̌n]	菅牧典	ㄐㄧㄢ ㄇㄨˋ ㄉㄧㄢˇ	Jiānmù Diǎn	[tɕjɛ̄n mù tjɛ̌n]	菅牧典	Kudamaki Tsukasa	くだまき つかさ	/kɯdamaki tsɯ̥kasa/	菅牧 典	菅牧 典	ㄐㄧㄢ ㄇㄨˋ ㄉㄧㄢˇ	菅牧 典	
137	饭纲丸龙	Fàngāngwán Lóng	[fàn kāŋ wán lʊ́ŋ]	飯綱丸龍	ㄈㄢˋ ㄍㄤ ㄨㄢˊ ㄌㄨㄥˊ	Fàngāngwán Lóng	[fàn kāŋ wán lʊ́ŋ]	飯綱丸龍	Iizunamaru Megumu	いいずなまる めぐむ	/iːzɯnamaɾɯ megɯmɯ/	饭纲丸 龙	飯綱丸 龍	ㄈㄢˋ ㄍㄤ ㄨㄢˊ ㄌㄨㄥˊ	飯綱丸 龍	
138	天弓千亦	Tiāngōng Qiānyì	[tʰjɛ̄n kʊ̄ŋ tɕʰjɛ̄n ì]	天弓千亦	ㄊㄧㄢ ㄍㄨㄥ ㄑㄧㄢ ㄧˋ	Tiāngōng Ciānyì	[tʰjɛ̄n kʊ̄ŋ tɕʰjɛ̄n ì]	天弓千亦	Tenkyuu Chimata	てんきゅう ちまた	/teɴkʲɯː tɕimata/	天弓 千亦	天弓 千亦	ㄊㄧㄢ ㄍㄨㄥ ㄑㄧㄢ ㄧˋ	天弓 千亦	
139	姬虫百百世	Jīchóng Bǎibǎishì	[tɕī ʈʂʰʊ́ŋ pǎi pǎi ʂɻ̩̀]	姬蟲百百世	ㄐㄧ ㄔㄨㄥˊ ㄅㄞˇ ㄅㄞˇ ㄕˋ	Jīchóng Bǎibǎishìh	[tɕī ʈʂʰʊ́ŋ pǎi pǎi ʂɻ̩̀]	姫虫百々世	Himemushi Momoyo	ひめむし ももよ	/çimemɯɕi momojo/	姬虫 百百世	姬蟲 百百世	ㄐㄧ ㄔㄨㄥˊ ㄅㄞˇ ㄅㄞˇ ㄕˋ	姫虫 百々世	
140	弹幕狂们的黑市	Dànmù Kuángmen de Hēishì	[tàn mù kʰwáŋ mən tə xēi ʂɻ̩̀]	彈幕狂們的黑市	ㄉㄢˋ ㄇㄨˋ ㄎㄨㄤˊ ˙ㄇㄣ ˙ㄉㄜ ㄏㄟ ㄕˋ	Dànmù Kuángmen de Hēishìh	[tàn mù kʰwáŋ mən tə xēi ʂɻ̩̀]	バレットフィリア達の闇市場	Bulletphilia Tachi no Yami Ichiba	ばれっとふぃりあ たち の やみいちば	/baɾettoɸiɾia tatɕi no jamiːtɕiba/	弹幕狂们\n的黑市	彈幕狂們\n的黑市	ㄉㄢˋ ㄇㄨˋ ㄎㄨㄤˊ ˙ㄇㄣ \n˙ㄉㄜ ㄏㄟ ㄕˋ	バレット\nフィリア達\nの闇市場	TRUE
141	兽王园	Shòuwángyuán	[ʂòu wáŋ ɥɛ́n]	獸王園	ㄕㄡˋ ㄨㄤˊ ㄩㄢˊ	Shòuwángyuán	[ʂòu wáŋ ɥɛ́n]	獣王園	Juuouen	じゅうおうえん	/dʑɯːoːeɴ/	兽王园	獸王園	ㄕㄡˋ ㄨㄤˊ ㄩㄢˊ	獣王園	TRUE
142	孙美天	Sūn Měitiān	[swə̄n měi tʰjɛ̄n]	孫美天	ㄙㄨㄣ ㄇㄟˇ ㄊㄧㄢ	Sūn Měitiān	[swə̄n měi tʰjɛ̄n]	孫美天	Son Biten	そん びてん	/soɴ biteɴ/	孙 美天	孫 美天	ㄙㄨㄣ ㄇㄟˇ ㄊㄧㄢ	孫 美天	
143	三头慧之子	Sāntóu Huìzhīzǐ	[sān tʰóu xwèi ʈʂɻ̩̄ tsɹ̩̌]	三頭慧之子	ㄙㄢ ㄊㄡˊ ㄏㄨㄟˋ ㄓ ㄗˇ	Sāntóu Huèijhīhzǐh	[sān tʰóu xwèi ʈʂɻ̩̄ tsɹ̩̌]	三頭慧ノ子	Mitsugashira Enoko	みつがしら えのこ	/mitsɯgaɕiɾa enoko/	三头 慧之子	三頭 慧之子	ㄙㄢ ㄊㄡˊ ㄏㄨㄟˋ ㄓ ㄗˇ	三頭 慧ノ子	
144	天火人血枪	Tiānhuǒrén Xuèqiāng	[tʰjɛ̄n xwǒ ʐə́n ɕɥè tɕʰjāŋ]	天火人血槍	ㄊㄧㄢ ㄏㄨㄛˇ ㄖㄣˊ ㄒㄧㄝˇ ㄑㄧㄤ	Tiānhuǒrén Siěciāng	[tʰjɛ̄n xwǒ ʐə́n ɕjě tɕʰjāŋ]	天火人ちやり	Tenkajin Chiyari	てんかじん ちやり	/teɴkadʑiɴ tɕijaɾi/	天火人 血枪	天火人 血槍	ㄊㄧㄢ ㄏㄨㄛˇ ㄖㄣˊ \nㄒㄧㄝˇ ㄑㄧㄤ	天火人 ちやり	
145	豫母都日狭美	Yùmǔdū Rìxiáměi	[ỳ mǔ tū ʐɻ̩̀ ɕjá měi]	豫母都日狹美	ㄩˋ ㄇㄨˇ ㄉㄨ ㄖˋ ㄒㄧㄚˊ ㄇㄟˇ	Yùmǔdū Rìhsiáměi	[ỳ mǔ tū ʐɻ̩̀ ɕjá měi]	豫母都日狭美	Yomotsu Hisami	よもつ ひさみ	/jomotsɯ çi̥sami/	豫母都 日狭美	豫母都 日狹美	ㄩˋ ㄇㄨˇ ㄉㄨ ㄖˋ ㄒㄧㄚˊ ㄇㄟˇ	豫母都 日狭美	
146	日白残无	Rìbái Cánwú	[ʐɻ̩̀ pái tsʰán ú]	日白殘無	ㄖˋ ㄅㄞˊ ㄘㄢˊ ㄨˊ	Rìhbái Cánwú	[ʐɻ̩̀ pái tsʰán ú]	日白残無	Nippaku Zanmu	にっぱく ざんむ	/nippakɯ zaɴmɯ/	日白 残无	日白 殘無	ㄖˋ ㄅㄞˊ ㄘㄢˊ ㄨˊ	日白 残無	
147	锦上京	Jǐnshàngjīng	[tɕǐn ʂàŋ tɕīŋ]	錦上京	ㄐㄧㄣˇ ㄕㄤˋ ㄐㄧㄥ	Jǐnshàngjīng	[tɕǐn ʂàŋ tɕīŋ]	錦上京	Kinjyoukyou	きんじょうきょう	/kiɴdʑoːkʲoː/	锦上京	錦上京	ㄐㄧㄣˇ ㄕㄤˋ ㄐㄧㄥ	錦上京	TRUE
148	尘塚姥芽	Chénzhǒng Mǔyá	[ʈʂʰə́n ʈʂʊ̌ŋ mǔ já]	塵塚姥芽	ㄔㄣˊ ㄓㄨㄥˇ ㄇㄨˇ ㄧㄚˊ	Chénjhǒng Mǔyá	[ʈʂʰə́n ʈʂʊ̌ŋ mǔ já]	塵塚ウバメ	Chirizuka Ubame	ちりづか うばめ	/tɕiɾidzɯka ɯbame/	尘塚 姥芽	塵塚 姥芽	ㄔㄣˊ ㄓㄨㄥˇ ㄇㄨˇ ㄧㄚˊ	塵塚 ウバメ	
149	封兽魑魅	Fēngshòu Chīmèi	[fə̄ŋ ʂòu ʈʂʰɻ̩̄ mèi]	封獸魑魅	ㄈㄥ ㄕㄡˋ ㄔ ㄇㄟˋ	Fōngshòu Chīhmèi	[fə̄ŋ ʂòu ʈʂʰɻ̩̄ mèi]	封獣チミ	Houjuu Chimi	ほうじゅう ちみ	/hoːdʑɯː tɕimi/	封兽 魑魅	封獸 魑魅	ㄈㄥ ㄕㄡˋ ㄔ ㄇㄟˋ	封獣 チミ	
150	道神驯子	Dàoshén Xùnzǐ	[tàu ʂə́n ɕỳn tsɹ̩̌]	道神馴子	ㄉㄠˋ ㄕㄣˊ ㄒㄩㄣˊ ㄗˇ	Dàoshén Syúnzǐh	[tàu ʂə́n ɕýn tsɹ̩̌]	道神馴子	Michigami Nareko	みちがみ なれこ	/mitɕigami naɾeko/	道神 驯子	道神 馴子	ㄉㄠˋ ㄕㄣˊ ㄒㄩㄣˊ ㄗˇ	道神 馴子	
151	维缦·浅间	Wéimàn Qiǎnjiān	[wéi màn tɕʰjɛ̌n tɕjɛ̄n]	維縵·淺間	ㄨㄟˊ ㄇㄢˋ  ㄑㄧㄢˇ ㄐㄧㄢ	Wéimàn Ciǎnjiān	[wéi màn tɕʰjɛ̌n tɕjɛ̄n]	ユイマン・浅間	Yuiman Asama	ゆいまん あさま	/jɯimaɴ asama/	维缦·浅间	維縵·淺間	ㄨㄟˊ ㄇㄢˋ  ㄑㄧㄢˇ ㄐㄧㄢ	ユイマン・\n浅間	
152	磐永阿梨夜	Pányǒng Ālíyè	[pʰán jʊ̌ŋ ā lí jè]	磐永阿梨夜	ㄆㄢˊ ㄩㄥˇ ㄚ ㄌㄧˊ ㄧㄝˋ	Pányǒng Ālíyè	[pʰán jʊ̌ŋ ā lí jè]	磐永阿梨夜	Iwanaga Ariya	いわなが ありや	/iwanaga aɾija/	磐永 阿梨夜	磐永 阿梨夜	ㄆㄢˊ ㄩㄥˇ ㄚ ㄌㄧˊ ㄧㄝˋ	磐永 阿梨夜	
153	渡里妮娜	Dùlǐ Nīnà	[tù lǐ nī nà]	渡里妮娜	ㄉㄨˋ ㄌㄧˇ ㄋㄧˊ ㄋㄚˋ	Dùlǐ Nínà	[tù lǐ ní nà]	渡里ニナ	Watari Nina	わたり にな	/wataɾi nina/	渡里 妮娜	渡里 妮娜	ㄉㄨˋ ㄌㄧˇ ㄋㄧˊ ㄋㄚˋ	渡里 ニナ	
154	香霖堂	Xiānglíntáng	[ɕjāŋ lín tʰáŋ]	香霖堂	ㄒㄧㄤ ㄌㄧㄣˊ ㄊㄤˊ	Siānglíntáng	[ɕjāŋ lín tʰáŋ]	香霖堂	Kourindou	こうりんどう	/koːɾiɴdoː/	香霖堂	香霖堂	ㄒㄧㄤ ㄌㄧㄣˊ ㄊㄤˊ	香霖堂	TRUE
155	森近霖之助	Sēnjìn Línzhīzhù	[sə̄n tɕìn lín ʈʂɻ̩̄ ʈʂù]	森近霖之助	ㄙㄣ ㄐㄧㄣˋ ㄌㄧㄣˊ ㄓ ㄓㄨˋ	Sēnjìn Línjhīhjhù	[sə̄n tɕìn lín ʈʂɻ̩̄ ʈʂù]	森近霖之助	Morichika Rinnosuke	もりちか りんのすけ	/moɾitɕi̥ka ɾiɴnosɯ̥ke/	森近 霖之助	森近 霖之助	ㄙㄣ ㄐㄧㄣˋ ㄌㄧㄣˊ ㄓ ㄓㄨˋ	森近 霖之助	
156	朱鹭子	Zhūlùzǐ	[ʈʂū lù tsɹ̩̌]	朱鷺子	ㄓㄨ ㄌㄨˋ ㄗˇ	Jhūlùzǐh	[ʈʂū lù tsɹ̩̌]	朱鷺子	Tokiko	ときこ	/toki̥ko/	朱鹭子	朱鷺子	ㄓㄨ ㄌㄨˋ ㄗˇ	朱鷺子	
157	无名的读书妖怪	Wúmíng de Dúshū Yāoguài	[ú míŋ tə tú ʂū jāu kwài]	無名的讀書妖怪	ㄨˊ ㄇㄧㄥˊ ˙ㄉㄜ ㄉㄨˊ ㄕㄨ ㄧㄠ ㄍㄨㄞˋ	Wúmíng de Dúshū Yāoguài	[ú míŋ tə tú ʂū jāu kwài]	名無しの本読み妖怪	Nanashi no Honnyomi Youkai	ななし の ほんよみ ようかい	/nanaɕi no hoɴjomi joːkai/	无名的\n读书妖怪	無名的\n讀書妖怪	ㄨˊ ㄇㄧㄥˊ ˙ㄉㄜ \nㄉㄨˊ ㄕㄨ ㄧㄠ ㄍㄨㄞˋ	名無しの\n本読み妖怪 	
158	儚月抄	Mèngyuèchāo	[mə̀ŋ ɥè ʈʂʰāu]	儚月抄	ㄇㄥˋ ㄩㄝˋ ㄔㄠ	Mèngyuèchāo	[mə̀ŋ ɥè ʈʂʰāu]	儚月抄	Bougetsushou	ぼうげつしょう	/boːgetsɯ̥ɕoː/	儚月抄	儚月抄	ㄇㄥˋ ㄩㄝˋ ㄔㄠ	儚月抄	TRUE
