THJPID	Simplified	Pinyin	CN_IPA_Tone	Traditional	Bopomofo	Tongyong_Pinyin	TW_IPA_Tone	Kanji	TouhouRoman	Yomigana	JP_IPA	SimplifiedSPLF	TraditionalSPLF	BopomofoSPLF	KanjiSPLF	IsNotCharacter
79	幽谷响子	Yōugǔ Xiǎngzǐ	[jōu kǔ ɕjǎŋ tsɹ̩̌]	幽谷響子	ㄧㄡ ㄍㄨˇ ㄒㄧㄤˇ ㄗˇ	Yōugǔ Siǎngzǐh	[jōu kǔ ɕjǎŋ tsɹ̩̌]	幽谷響子	Kasodani Kyouko	かそだに きょうこ	/kasodani kʲoːko/	幽谷 响子	幽谷 響子	ㄧㄡ ㄍㄨˇ ㄒㄧㄤˇ ㄗˇ	幽谷 響子	
80	宫古芳香	Gōnggǔ Fāngxiāng	[kʊ̄ŋ kǔ fāŋ ɕjāŋ]	宮古芳香	ㄍㄨㄥ ㄍㄨˇ ㄈㄤ ㄒㄧㄤ	Gōnggǔ Fāngsiāng	[kʊ̄ŋ kǔ fāŋ ɕjāŋ]	宮古芳香	Miyako Yoshika	みやこ よしか	/mijako joɕi̥ka/	宫古 芳香	宮古 芳香	ㄍㄨㄥ ㄍㄨˇ ㄈㄤ ㄒㄧㄤ	宮古 芳香	
81	霍青娥	Huò Qīng'é	[xwò tɕʰīŋ ɤ́]	霍青娥	ㄏㄨㄛˋ ㄑㄧㄥ ㄜˊ	Huò Cīng'é	[xwò tɕʰīŋ ɤ́]	霍青娥	Kaku Seiga	かく せいが	/kakɯ seːga/	霍 青娥	霍 青娥	ㄏㄨㄛˋ ㄑㄧㄥ ㄜˊ	霍 青娥	
82	青娥娘娘	Qīng'é Niángniang	[tɕʰīŋ ɤ́ njáŋ njaŋ]	青娥娘娘	ㄑㄧㄥ ㄜˊ ㄋㄧㄤˊ ˙ㄋㄧㄤ	Cīng'é Niángniang	[tɕʰīŋ ɤ́ njáŋ njaŋ]	青娥娘々	Seiga NyanNyan	せいが にゃんにゃん	/seːga ɲaɴɲaɴ/	青娥 娘娘	青娥 娘娘	ㄑㄧㄥ ㄜˊ ㄋㄧㄤˊ ˙ㄋㄧㄤ	青娥 娘々	
83	苏我屠自古	Sūwǒ Túzìgǔ	[sū wǒ tʰú tsɹ̩̀ kǔ]	蘇我屠自古	ㄙㄨ ㄨㄛˇ ㄊㄨˊ ㄗˋ ㄍㄨˇ	Sūwǒ Túzìhgǔ	[sū wǒ tʰú tsɹ̩̀ kǔ]	蘇我屠自古	Soga no Tojiko	そが の とじこ	/soga no todʑiko/	苏我 屠自古	蘇我 屠自古	ㄙㄨ ㄨㄛˇ ㄊㄨˊ ㄗˋ ㄍㄨˇ	蘇我 屠自古	
84	物部布都	Wùbù Bùdū	[ù pù pù tū]	物部布都	ㄨˋ ㄅㄨˋ ㄅㄨˋ ㄉㄨ	Wùbù Bùdū	[ù pù pù tū]	物部布都	Mononobe no Futo	もののべ の ふと	/mononobe no ɸɯ̥to/	物部 布都	物部 布都	ㄨˋ ㄅㄨˋ ㄅㄨˋ ㄉㄨ	物部 布都	
85	丰聪耳神子	Fēngcōng'ěr Shénzǐ	[fə̄ŋ tsʰʊ̄ŋ ɚ̌ ʂə́n tsɹ̩̌]	豐聰耳神子	ㄈㄥ ㄘㄨㄥ ㄦˇ ㄕㄣˊ ㄗˇ	Fōngcōng'ěr Shénzǐh	[fə̄ŋ tsʰʊ̄ŋ ɚ̌ ʂə́n tsɹ̩̌]	豊聡耳神子	Toyosatomimi no Miko	とよさとみみ の みこ	/tojosatomimi no miko/	丰聪耳 神子	豐聰耳 神子	ㄈㄥ ㄘㄨㄥ ㄦˇ ㄕㄣˊ ㄗˇ	豊聡耳 神子	
86	二岩猯藏	Èryán Tuānzàng	[ɚ̀ jɛ́n tʰwān tsàŋ]	二岩貒藏	ㄦˋ ㄧㄢˊ ㄊㄨㄢ ㄗㄤˋ	Èryán Tuānzàng	[ɚ̀ jɛ́n tʰwān tsàŋ]	二ッ岩マミゾウ	Futatsuiwa Mamizou	ふたついわ まみぞう	/ɸɯ̥tatsɯiwa mamizoː/	二岩 猯藏	二岩 貒藏	ㄦˋ ㄧㄢˊ ㄊㄨㄢ ㄗㄤˋ	二ッ岩 マミゾウ	
87	心绮楼	Xīnqǐlóu	[ɕīn tɕʰǐ lóu]	心綺樓	ㄒㄧㄣ ㄑㄧˇ ㄌㄡˊ	Sīncǐlóu	[ɕīn tɕʰǐ lóu]	心綺楼	Shinkirou	しんきろう	/ɕiɴkiɾoː/	心绮楼	心綺樓	ㄒㄧㄣ ㄑㄧˇ ㄌㄡˊ	心綺楼	TRUE
88	秦心	Qín Xīn	[tɕʰín ɕīn]	秦心	ㄑㄧㄣˊ ㄒㄧㄣ	Cín Sīn	[tɕʰín ɕīn]	秦こころ	Hata no Kokoro	はた の こころ	/hata no kokoɾo/	秦心	秦 心	ㄑㄧㄣˊ ㄒㄧㄣ	秦 こころ	
